scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method,metaAuthors,metaTickets,metaCategories,metaOthers
"GIVEN- the REST end point, WHEN- I invoke GET for emp ID 1000, THEN- I will receive the details",0,get_user_details,,"55534026-903f-48f3-9ac5-2a34225c8cf0","2025-07-24T17:36:17.131165",2.0,"2025-07-24T17:36:17.133188",FAILED,GET,,,,
"Java method return as JSON assertions",0,execute_java_method,,"2fc5990a-a063-4de3-ac9e-3de9802127db","2025-07-24T17:36:14.888843",2.0,"2025-07-24T17:36:14.891362",PASSED,fetchDbCustomers,,,,
"Java method return as JSON assertions",0,execute_gremlin_ql,,"fa1a5eb2-8c5f-4a62-a1c4-ee44cc1e8e69","2025-07-24T17:36:14.892530",0.0,"2025-07-24T17:36:14.892777",PASSED,fetchDbCustomers,,,,
"Assert array or the size in the response - so many simple ways",0,check_array_size_way1,,"0a1d0d54-98c7-41ae-a945-65c3d3695c0b","2025-07-24T17:36:07.621261",0.0,"2025-07-24T17:36:07.621874",PASSED,fetchDbCustomers,,,,
"Assert array or the size in the response - so many simple ways",0,check_array_size_way2,,"179143a7-01bd-46d9-a165-d396953c57fc","2025-07-24T17:36:07.623219",0.0,"2025-07-24T17:36:07.623455",PASSED,fetchDbCustomers,,,,
"Assert array or the size in the response - so many simple ways",0,check_array_size_way21,,"5d5d26b6-6548-4ad0-a78f-ccc196437ad4","2025-07-24T17:36:07.624254",0.0,"2025-07-24T17:36:07.624442",PASSED,fetchDbCustomers,,,,
"Assert array or the size in the response - so many simple ways",0,check_array_size_way22,,"8ea0e133-14ca-4717-a489-501757175e70","2025-07-24T17:36:07.624927",0.0,"2025-07-24T17:36:07.625301",PASSED,fetchDbCustomers,,,,
"Assert array or the size in the response - so many simple ways",0,check_array_size_way3,,"90b01143-2cb6-4bfd-8e4c-e9c16b3fc908","2025-07-24T17:36:07.625920",0.0,"2025-07-24T17:36:07.626101",PASSED,fetchDbCustomers,,,,
"Assert array or the size in the response - so many simple ways",0,check_array_size_way4,,"3803ec82-e87d-4209-bf27-0971801c20af","2025-07-24T17:36:07.626609",0.0,"2025-07-24T17:36:07.626826",PASSED,fetchDbCustomers,,,,
"Assert array or the size in the response - so many simple ways",0,check_array_size_way5,,"1283bf12-78da-4d06-a22e-579699a7f661","2025-07-24T17:36:07.627392",0.0,"2025-07-24T17:36:07.627567",PASSED,fetchDbCustomers,,,,
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"e8bba41f-6785-4d1f-a7e1-2e695a3f4ceb","2025-07-24T17:14:37.415779",202.0,"2025-07-24T17:14:37.618390",PASSED,GET,,,,
"GitHub GET API and more @@Alex",0,"get_github_server_details",,"03ccd854-b18a-4e49-9fa8-3ab0ca5f2d6e","2025-07-24T17:36:04.914016",370.0,"2025-07-24T17:36:05.284772",FAILED,GET,,,,
"GitHub Version-Details REST API will GET, version and server details @@Emma",0,"get_github_server_details",,"99c61b26-db06-4f78-8998-0c8e9a2cf296","2025-07-24T17:14:38.047098",210.0,"2025-07-24T17:14:38.257144",PASSED,GET,,,,
